Identifier,Submission Date,Water point Name,Woreda,Kebele,Parish,Village,Latitude,Longitude,DWD number of water point,Year of water point construction,Who funded the construction of this water point,Estimate the number of households who use this water point as their source of water,What is the main purpose for which people use water from this water point?,What is the main purpose for which people use water from this water point?--OTHER--,Is water used by vendors/collected to sell other places?,Are their livestock drinking facilities at the water point?,Type of water source,Public Tapstand - Name of Water Scheme Connected,Public Tapstand With Water Meter,Water Meter Functioning,Rain Water Harvesting Tank - Volume (L),Number of Taps/Spouts,Protected Spring Type,How many spouts does it have?,Borehole/Well Depth (m),Borehole/Well Diameter (In),Type of lifting device?,Handpump Type,What is the pipe material?,Is the water point currently functional?,Please rate the level of functionality,Specify the nature of the technical breakdowns,Duration of the current non-functionality (how long has it been out of service),How many days in total was the water facility out of service during the past one year?,How many hours per day is it possible to collect water from this source?,How many minutes does it take to fill a 20 Litre Jerry can?,Physical state of the Apron,Physical state of the pedestal,Physical state of Tap/ Spouts,Status of how the tap/ spout is currently being used,Physical state of drainage channel and soakpit,Physical state of the Pumphead,Physical state of the handle,Physical state of the retention wall,Physical state of the superstructure (building and door),Physical state of the plumbing works in the kiosk,How many rainwater harvesting tanks are present?,What is the total storage capacity of the tanks?,How many rainwater harvesting tanks are in USE?,What is the total storage volume of tanks IN USE?,What is the physical state of the gutters,What is the status of the filtration system?,What is the physical state of the filtration system,What is the Physical state of the MAIN tank,Please explain any other observable technical problems that require repairs,Are there any components of the well/ borehole that require total replacement?,Are there any components of the well/ borehole that require total replacement?--OTHER--,Are there any components of the protected spring that require total replacement?,Are there any components of the protected spring that require total replacement?--OTHER--,Are there any components of the public tapstand that require total replacement?,Are there any components of the public tapstand that require total replacement?--OTHER--,Are there any components of the kiosk that require total replacement?,Are there any components of the kiosk that require total replacement?--OTHER--,Are there any components of the rainwater harvesting system that require total replacement?,Are there any components of the rainwater harvesting system that require total replacement?--OTHER--,Are there any potential sources of contamination within 10 meters of the water point?,Is the catchment protected and are there any potential sources if contamination nearby?,Are there any potential sources of contamination to the rainwater system?,Is there concern about potential contamination of the water quality?,Is there concern about potential contamination of the water quality?--OTHER--,Are there any concerns about the COLOUR of the water?,Are there any concerns about the ODOUR/SMELL of the water?,Are there any concerns about the TASTE of the water?,Please any other concern about water quality,Who is responsible for daly operation of the water point?,Who is responsible for daly operation of the water point?--OTHER--,Is the care paid or unpaid?,Is there a WUC/ WSC for this water point?,Who is responsible for the overall management of this water point?,Is the WUC/ WSC currently active?,"In the last year, has the WUC/ WSC/ Management body organised any maintenance activities or repairs?","In the last year,has the WUC/WSC received any support or guidance from the sub-county or district government?",Number of members of the WUC/ WSC,Number of Active members on the WUC/WSC,Number of women on the WUC/WSC,"Number of women in key positions on the WUC/WSC (chair, secretary of finance)",Is the WUC/WSC a member of the Sub County Water Supply and Sanitation Board?,Does the WUC/WSC/operator keep records of the water meter readings or amount of water collected?,Does the WUC/WSC/operator keep financial records on income collected?,Does the WUC/WSC keep financial records on expenditure and/or a record of repairs?,Does the WUC/WSC have a bank account?,When were the last water quality tests done?,Does the operator keep financial records on expenditure and/or a record of repairs?,Has the WUC/WSC received any support or training from the Sub county or the district in the past year?,Do users pay for water?,How much is typically collected from each user when there is a breakdown or repair?,Type of tariff system,Type of tariff system--OTHER--,What is the monthly tariff?,What is the annual tariff?,What is the tariff per 20L jerry can?,% of Community Paying Tariffs,Are there any families or people in the village exempted from payment due to inability to pay?
6ch0-n4pj-x5wb,29-03-2021 09:01:44 UTC,lacek oto primary school,Agago,Adilang,Labwa,Lacek oto Pida,2.68581499,33.502845,25553,2006,Government,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,30,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,Unknown,more than 16 hours,more than 3 minutes,Good,Good,,,good,Good,Good,,,,,,,,,,,,none,NONE,,,,,,,,,,Animal excreta nearby,,,No concern- water is clean,,Never,Never,Rarely,none,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,4,2,No,Yes,Yes,Yes,No,Unknown,,No,Yes,,Fixed tariff per month,,1000,,,90,Yes
ph9f-bqps-rhk5,29-03-2021 09:06:18 UTC,Luzira west borehole,Agago,Parabongo,Parumu,Luzira West,3.04709347,33.3962448,,2008,NGO,,Drinking water,,Never,No,Deep borehole,,,,,,,,27,2,Handpump,,GI,Functional and not in use,Barely functioning (almost not functioning),,,More than 3 weeks total,,,Very poor,Por,,,very poor,Fair (moderate),Very poor,,,,,,,,,,,,"broken handle , nut and bolts",Spout,bolts and nuts,,,,,,,,,Animal excreta nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Sometimes,Sometimes,Sometimes,dirty water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,1,1,No,No,Yes,Yes,No,1 to 5 years ago,,No,Yes,,Fixed tariff per month,,1000,,,50,Yes
vfyq-mkcj-2txm,29-03-2021 09:11:48 UTC,lacek oto Pida,Agago,Adilang,Labwa,Lacek oto Pida,2.68551035,33.5000723,,2007,NGO,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,33,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,Unknown,more than 16 hours,1-3 minutes,Very poor,Good,,,broken,Fair (moderate),Good,,,,,,,,,,,,soakpit,Apron,,,,,,,,,,Rubbish nearby,,,No concern- water is clean,,Never,Sometimes,Sometimes,none,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,4,2,No,No,Yes,Yes,No,Unknown,,Unknown,Yes,,Fixed tariff per month,,1000,,,86,Yes
buxa-hs26-1u6b,29-03-2021 09:20:09 UTC,Ajali Anyena P/S BH,Agago,Agago TC,Anyena,Anyena South,2.82061907,33.34048,,1993,Religious institutions,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,48,2,Handpump,,Stainless Steel,Non-functional,,"Headpump systems, pipes, handle and Aprons",more than one year,Unknown,,,Poor,Por,,,missing,Poor,Poor,,,,,,,,,,,,General systems for the borehole,,General systems required,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,4,4,1,No,,,Yes,No,,,No,,,,,,,,,
km32-wjdu-d0w2,29-03-2021 09:23:19 UTC,Kupino B/h,Agago,Wol TC,Lubanya Ward,Kopino,3.11337614,33.2448733,38783,2012,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,24,0,Handpump,,Stainless Steel,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,1-3 minutes,Fair (moderate),Fair (moderate),,,fair,Good,Poor,,,,,,,,,,,,problem in Pipes,Handle,,,,,,,,,,Animal excreta nearby,,,Contamination from soil or metals,,Sometimes,Never,Sometimes,Low awareness of the community about clean water use hence poor sanitation.,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,11,11,3,1,No,No,Yes,Yes,No,Never,,Yes,Yes,,,After every 3 months,,,,100,No
1ws7-jgcg-je1w,29-03-2021 09:21:41 UTC,lawee,Agago,Adilang,Labwa,Lawee,2.67748893,33.4990182,27956,2010,NGO,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,36,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,Unknown,more than 16 hours,1-3 minutes,Good,Good,,,broken,Good,Good,,,,,,,,,,,,none,NONE,,,,,,,,,,Rubbish nearby,,,No concern- water is clean,,Never,Sometimes,Sometimes,none,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,4,2,No,No,Yes,Yes,No,Unknown,,Unknown,Yes,,Fixed tariff per month,,1000,,,75,Yes
g11k-1455-khdn,29-03-2021 09:26:57 UTC,lelakali Central borehole,Agago,Parabongo,Parumu,Kale Central,3.04551234,33.3991968,26942,2017,Government,more than 100,Drinking water,,Never,No,Deep borehole,,,,,,,,27,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,About 1 week in total,8-16 hours,1-3 minutes,Good,Good,,,very poor,Good,Good,,,,,,,,,,,,nuts and bolt,Drainage channel,bolts and nuts,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,safe clean water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,1,1,No,No,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,1000,,,80,No
4vy5-361p-vv0e,29-03-2021 09:36:11 UTC,Nam zbili,Agago,Adilang,Nam,Namabili,2.66757168,33.434006,,2007,Government,more than 100,Washing cars/ motorcycles,,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,More than 3 weeks total,8-16 hours,1-3 minutes,Good,Good,,,Good,Good,Good,,,,,,,,,,,,no problems,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,no concerned,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,Yes,9,9,5,0,No,Yes,Yes,Yes,No,During construction of the water source,,Yes,Yes,,Fixed tariff per month,,20003,,,95,Yes
697x-k2qj-puvn,29-03-2021 09:35:48 UTC,Pawel,Agago,Omiya Pacwa,Laita,Pawel,3.25177182,33.4145402,60608,2018,NGO,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,42,2,Handpump,,PVC,Non-functional,,Still under construction,Unknown,It was never broken down,,,Good,Good,,,Still under construction,Good,Good,,,,,,,,,,,,Still under construction,NONE,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,No,Private operator,,No,,,,,,,,,,,,No,,,,,,,,,,
h0jp-00v7-47h9,29-03-2021 09:36:31 UTC,Aminabil deep borehole,Agago,Kotomol,Amokowang,Aminabili,2.6416501,33.3623668,48652,2014,NGO,25-50,Water for other household and domestic use,,Never,Yes,Deep borehole,,,,,,,,0,2,Handpump,,GI,,Partially functioning works with some issues/ difficulties,,,It was never broken down,more than 8,1-3 minutes,Good,Good,,,poor,Good,Good,,,,,,,,,,,,it has problem in the colour,NONE,,,,,,,,,,NONE-No contamination risk observed,,,,problem with the colour and test,Always - problems with colour,Always - problems with odour,Always - Problems with Taste,none apart from it's colour,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,Yes,9,8,3,2,Yes,,,Yes,No,During construction of the water source,,No,Users contribute fees only when repair is needed,1000,,,,,,,
t8tf-0pcr-cp30,29-03-2021 09:47:10 UTC,Wilopany cell BH,Agago,Agago TC,Anyena,Anyena North,2.81416173,33.3454421,31396,2010,NGO,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,GI,Non-functional,,Pipes and Bearing are all spoilt,more than 20 days but less than one year,More than 3 weeks total,,,Good,Good,,,farely good,Good,Good,,,,,,,,,,,,none,Drainage channel,soakpit,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,10,9,6,2,No,,,Yes,No,,,No,,,,,,,,,
fd6y-h3t4-qr64,29-03-2021 09:50:14 UTC,Aringo lengo,Agago,Adilang,Labwa,Lawee,2.63848884,33.4745101,,2017,NGO,50-100,Water for other household and domestic use,,Never,No,Shallow well,,,,,,,,9,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,Unknown,more than 16 hours,1-3 minutes,Fair (moderate),Good,,,broken,Good,Very poor,,,,,,,,,,,,broken handle,Handle,,,,,,,,,,Animal excreta nearby,,,No concern- water is clean,,Sometimes,Sometimes,Sometimes,none,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,4,2,No,No,Yes,Yes,No,During construction of the water source,,No,Yes,,Fixed tariff per month,,1000,,,87,Yes
6pxn-hqfc-styu,29-03-2021 09:51:21 UTC,Apwobo Adwong Spring,Agago,Kotomol,Amokowang,Aminabili,2.640005,33.3584067,,2011,NGO,50-100,Water for other household and domestic use,,Never,Yes,Protected spring,,,,,One,ordinary,One,,,,,I don't know,Functional in use,Partially functioning works with some issues/ difficulties,,,It was never broken down,more than 8,more than 3 minutes,,,Fair (moderate),Active all are in use,Good,,,Very poor,,,,,,,,,,,"retention wall broken, no steps",,,Catchment protection or fence,,,,,,,,,Children playing,,Contamination from pesticides or herbicides (agriculture),,Sometimes,Always - problems with odour,Sometimes,Retention wall should be rennovated,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,2,1,No,,,Yes,No,Never,,Yes,No,,,,,,,,
pggj-ce16-keas,29-03-2021 10:01:25 UTC,karumu primary school rain water havest tank,Agago,Parabongo,Parumu,Kale Central,3.04537709,33.4001044,,2012,NGO,,Institutional use (school or healthcare facility/ health centre),,Never,No,Rain water harvesting tank,,,,10000,,,,,,,,,Non-functional,,gutters and tap are spoiled,more than one year,,,,,,,,good,,,,,,1,10000,1,10000,Very poor,No filtration system exists,,Good,taps,,,,,,,,,Filtration system,,,,NONE-no contamination risks observed,,,,,,,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
j5ja-1d1y-g16g,29-03-2021 10:10:37 UTC,Wilopany Central,Agago,Agago TC,Ajali,Wilopany Central,2.8078022,33.3476627,,2013,Government,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,36,2,Handpump,,Stainless Steel,Functional in use,Fully functioning at 100%,,,About 1 week in total,more than 8,1-3 minutes,Good,Good,,,good,Good,Good,,,,,,,,,,,,Apron,Apron,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Never,Rarely,it's about the colour only in the morning when pump,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,10,8,4,2,No,No,Yes,Yes,No,During construction of the water source,,No,Yes,,Fixed tariff per month,,2000,,,95,Yes
f5sj-ry0f-v7bx,29-03-2021 10:07:32 UTC,Kotomor primary school Tank,Agago,Kotomol,Apobo,Apobo Central,2.64355,33.3381683,,2014,NGO,,Water for other household and domestic use,,Never,No,Rain water harvesting tank,,,,10000,,,,,,,,,Non-functional,,Tap is missing and the pipe leading to the tank,more than one year,More than 3 weeks total,,,,,,,very good,,,,,,1,10000,1,10000,Good,No filtration system exists,,Excellent,pipes leading to the tank from the house is missing and the tap,,,,,,,,,Taps,,,,NONE-no contamination risks observed,,,,,,,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
qfj6-wj40-n1hm,29-03-2021 10:16:51 UTC,lela kali borehole,Agago,Parabongo,Parumu,Lela Pee,3.04221287,33.3936894,,2017,NGO,50-100,Drinking water,,Never,Yes,Deep borehole,,,,,,,,6,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,About 1 week in total,8-16 hours,1-3 minutes,Fair (moderate),Fair (moderate),,,very poor drainage system,Good,Good,,,,,,,,,,,,broken handle and lost nuts and bolts,Drainage channel,,,,,,,,,,Animal excreta nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Sometimes,Sometimes,Sometimes,still clean water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,Yes,9,9,1,1,No,No,Yes,Yes,No,1 to 5 years ago,,No,Yes,,Fixed tariff per month,,1000,,,70,Yes
s12p-70nb-86ju,29-03-2021 10:16:21 UTC,Odokomit,Agago,Omiya Pacwa,Laita,Odokomit Central,3.2437355,33.4173175,,2019,Community,25-50,Water for other household and domestic use,,Never,No,Protected spring,,,,,More than one,ordinary,More than one,,,,,I don't know,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,more than 8,more than 3 minutes,Very poor,Very poor,,,shallow well,Very poor,Very poor,,,,,,,,,,,,It drys sometimes,NONE,,,,,,,,,,Animal excreta nearby,,,Contamination from soil or metals,,Sometimes,Sometimes,Sometimes,It needs to be protected well to avoid contamination,,No caretaker,,No,No management,,,,,,,,,,,,,Never,,,No,,,,,,,,
5709-xrfc-44hp,29-03-2021 10:22:14 UTC,Wol kico P/h.,Agago,Wol TC,Kico Ward,Lula,3.11935238,33.2389299,,2009,NGO,,Institutional use (school or healthcare facility/ health centre),,Never,No,Rain water harvesting tank,,,,10000,,,,,,,,,Non-functional,,Gutters are destroyed and taps broken.,more than one year,Unknown,,,,,,,poor,,,,,,3,25000,None,0,Very poor,No filtration system exists,,Fair (moderate),None,,,,,,,,,Drainage channel,,,,Entry points or openings to the tank are not properly covered,,,,,,,,,,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
y3ck-9rya-r1c0,29-03-2021 10:23:39 UTC,omuku,Agago,Adilang,Labwa,Omuku,2.60383964,33.4889835,27922,2009,NGO,,,,,No,Deep borehole,,,,,,,,45,2,Handpump,,,Decomissioned,,,,,,,,,,,broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3cdb-um2d-u4xu,29-03-2021 10:26:02 UTC,Agun,Agago,Adilang,Nam,Agun,2.64530294,33.4443595,,2008,NGO,25-50,Washing cars/ motorcycles,,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,More than 3 weeks total,8-16 hours,1-3 minutes,Good,Good,,,Good,Good,Good,,,,,,,,,,,,no problems,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,no concerns,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,Yes,9,9,5,2,Yes,Yes,Yes,Yes,No,During construction of the water source,,Yes,Yes,,Fixed tariff per month,,1000,,,85,Yes
ur98-9f1k-rq74,29-03-2021 10:35:37 UTC,kale public tap stand,Agago,Parabongo,Parumu,Kale Central,3.03357007,33.3985304,,2018,Government,more than 100,Drinking water,,Never,No,Public Tapstand,ongam scheme,No,,,,,,,,,,,Functional in use,Fully functioning at 100%,,,About 1 week in total,more than 8,1-3 minutes,Poor,,Fair (moderate),Active all are in use,very poor,,,,,,,,,,,,,,taps needs replacement,,,,,Tap,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,water sanitation needs improvement,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,7,7,3,1,No,No,Yes,Yes,No,During construction of the water source,,No,Yes,,Fixed tariff per month,,1000,,,80,Yes
6rd5-p12r-rdj4,29-03-2021 10:36:30 UTC,Wol kico p/h,Agago,Wol TC,Kico Ward,Lula,3.11962824,33.2388522,,2009,NGO,,Institutional use (school or healthcare facility/ health centre),,Never,No,Rain water harvesting tank,,,,10000,,,,,,,,,Non-functional,,"Gutters are destroyed, tap broken,tank cover missing.",more than one year,,,,,,,,poor,,,,,,3,25000,None,None,Very poor,No filtration system exists,,Poor,None,,,,,,,,,Drainage channel,,,,Entry points or openings to the tank are not properly covered,,,,,,,,institution.,,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
g0yk-j4mv-5cmx,29-03-2021 10:31:24 UTC,lela kali DB,Agago,Parabongo,Parumu,Kale Central,3.03748699,33.3916954,25682,2018,Government,,Drinking water,,Never,No,Deep borehole,,,,,,,,27,2,Handpump,,GI,Non-functional,,incomplete construction of borehole,more than one year,More than 3 weeks total,,,Excellent,Excellent,,,poor,Very poor,Very poor,,,,,,,,,,,,incomplete construction of borehole,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
cp6v-4t81-2gvk,29-03-2021 10:42:35 UTC,Teekwor Anyena central BH,Agago,Agago TC,Anyena,Anyena South,2.8264137,33.339719,32526,2011,NGO,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,27,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,,8-16 hours,1-3 minutes,Good,Good,,,good,Good,Good,,,,,,,,,,,,none,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Sometimes,Sometimes,Hard water. not compatible with the soap,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,7,4,1,No,No,Yes,Yes,No,During construction of the water source,,No,Yes,,Fixed tariff per month,,2000,,,90,Yes
wwu3-uaaw-aye7,29-03-2021 10:37:19 UTC,tangi apano primary school,Agago,Patongo,Kal,Apano Central,2.67115278,33.3013134,,2018,NGO,50-100,Water for other household and domestic use,,Never,Yes,Deep borehole,,,,,,,,12,2,Handpump,,GI,,Fully functioning at 100%,,,It was never broken down,more than 8,1-3 minutes,Good,Good,,,good,Good,Good,,,,,,,,,,,,none,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,none,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,Yes,9,6,3,2,Yes,,,Yes,Yes,During construction of the water source,,Yes,Users contribute fees only when repair is needed,1000,,,,,,,
9bpm-4qa3-2qyr,29-03-2021 10:57:24 UTC,Lachiki,Agago,Omiya Pacwa,Lakwa,Laciki,3.23034214,33.4139908,56152,2010,NGO,,Water for other household and domestic use,,Never,Yes,Deep borehole,,,,,,,,62,2,Handpump,,PVC,Non-functional,,pipes and cylinder needs to be replaced,more than one year,,,,Good,Good,,,good,Good,Good,,,,,,,,,,,,Pipes and cylinder needs to be replaced,NONE,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,3,2,No,,,Yes,No,,,No,,,,,,,,,
bf31-820e-9gd1,29-03-2021 10:43:58 UTC,kibira,Agago,Adilang,Nam,Kibira,2.63729919,33.4478324,,2016,Government,25-50,Washing cars/ motorcycles,,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,more than 8,more than 3 minutes,Good,Good,,,Good,Good,Good,,,,,,,,,,,,Less pipes installed 7 out of 8,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Always - problems with colour,Sometimes,Sometimes,the colour changes in the morning,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,Yes,9,9,5,2,No,Yes,Yes,Yes,No,During construction of the water source,,Yes,Yes,,Fixed tariff per month,,1000,,,50,Yes
s7yj-k24p-5kfa,29-03-2021 10:48:30 UTC,Wol kico p/s RHT,Agago,Wol TC,Kico Ward,Lula,3.11965871,33.2375814,,2009,NGO,,Institutional use (school or healthcare facility/ health centre),,Never,No,Rain water harvesting tank,,,,5000,,,,,,,,,Non-functional,,Gutters destroyed And tap broken,more than one year,,,,,,,,fair,,,,,,3,25000,0,0,Very poor,No filtration system exists,,Good,None,,,,,,,,,Taps,,,,"Visible contamination on roof catchment area (plants, dirt, excreta)",,,,,,,,institution,,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
hhug-u05b-57ae,29-03-2021 10:49:51 UTC,kamanding,Agago,Adilang,Labwa,Kamanding,2.67363057,33.4867388,,2010,NGO,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,33,2,Handpump,,GI,Non-functional,,pipes broken,more than one year,Unknown,,,Poor,Good,,,broken,Fair (moderate),Good,,,,,,,,,,,,soakpit broken,Apron,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
qjgb-9dva-m41g,29-03-2021 10:56:19 UTC,Adekokowok Village,Agago,Patongo,Kal,Adek Okwok,2.68024833,33.296465,,2020,Government,more than 100,Drinking water,,Never,No,Deep borehole,,,,,,,,0,0,Handpump,,I don't know,Functional in use,Fully functioning at 100%,,,About 1 week in total,8-16 hours,more than 3 minutes,Excellent,Good,,,very good,Good,Good,,,,,,,,,,,,none,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Sometimes,Rarely,its chains that always break out,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,Yes,9,9,4,1,No,No,Yes,Yes,No,During construction of the water source,,Yes,Yes,,Fixed tariff per month,,1000,,,1000,Yes
6dqg-3cqt-nwwe,29-03-2021 10:57:18 UTC,luzira central Borehole,Agago,Parabongo,Parumu,Luzira Central,3.05282517,33.4024697,6940,2008,Government,more than 100,Drinking water,,Never,No,Deep borehole,,,,,,,,27,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,About 1 week in total,more than 8,1-3 minutes,Good,Good,,,good,Excellent,Excellent,,,,,,,,,,,,nothing,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,clean safe drinking water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,1,1,No,No,Yes,Yes,No,1 to 5 years ago,,No,Yes,,Fixed tariff per month,,1000,,,80,No
1myy-gqcq-5e6u,29-03-2021 11:04:09 UTC,Okede,Agago,Adilang,Nam,Okede,2.62234889,33.4542248,,2008,Government,50-100,Washing cars/ motorcycles,,Never,Yes,Deep borehole,,,,,,,,27,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,,8-16 hours,1-3 minutes,Good,Good,,,poor so,Good,Good,,,,,,,,,,,,sockpit is full need emptying,,sockpit,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,no concerns,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,Yes,9,9,5,2,Unknown,Yes,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,2000,,,2000,Yes
jc41-0bkc-bbep,29-03-2021 11:15:56 UTC,Wol kico B/h,Agago,Wol TC,Kico Ward,Lula,3.11794585,33.2376742,31021,2010,NGO,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,75,0,Handpump,,Stainless Steel,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,more than 3 minutes,Poor,Fair (moderate),,,very poor,Fair (moderate),Fair (moderate),,,,,,,,,,,,Pipes has hole in them,Drainage channel,,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,Contamination from animals or human feces (e.g. latrines or OD),,Always - problems with colour,Never,Rarely,None,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,3,2,No,No,Yes,Yes,No,Never,,Yes,Yes,,Fixed tariff per month,,2000,,,80,Yes
dpv5-vsw9-fwn1,29-03-2021 11:10:57 UTC,serere,Agago,Adilang,Labwa,Aleri Dam,2.7017332,33.4908295,27921,2009,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,33,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,Unknown,more than 16 hours,1-3 minutes,Good,Good,,,broken,Fair (moderate),Fair (moderate),,,,,,,,,,,,none,Pumphead,,,,,,,,,,Rubbish nearby,,,No concern- water is clean,,Never,Sometimes,Sometimes,none,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,4,2,No,No,Yes,Yes,No,Unknown,,No,Yes,,Fixed tariff per month,,1000,,,90,Yes
7fxk-eaup-jd7q,29-03-2021 11:20:43 UTC,Lela pee bore hole,Agago,Parabongo,Parumu,Lela Pee,3.05334711,33.4070517,13260,2014,NGO,more than 100,Drinking water,,Never,No,Deep borehole,,,,,,,,13,5,Handpump,,PVC,Non-functional,,few pipes and cylinder,more than one year,Unknown,more than 8,more than 3 minutes,Good,Good,,,fair,Good,Good,,,,,,,,,,,,some little correction in drainage,,pipes,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,No,9,2,4,1,No,,,Yes,No,,,No,,,,,,,,,
