Identifier,District,Municipality/Union,Ward Number,Latitude,Longitude,Name of Household,"What is the total number of household members, including yourself?",Water Service Level,Main source of drinking water,Main source of water for other purposes,Specific Location of Water Collection,Time to Collect Water,Times in Last Month When Drinking Water Quantity Was Insufficient,Fecal and Chemical Levels Acceptable,Sanitation Service Level,Type of Toilet Facility,Facility is shared with others outside of the household,Location of sanitation facility,Emptying of on-site sanitation facilities,Disposal of excreta from onite sanitation facilities,Hygiene Service Ladder,Type of Handwashing Facility Used Most Often,Water Available at Handwashing Facility,Soap Available
ugmr-m73f-35jh,Barguna,Barguna Union,8,22.13226525,90.08231016,,5,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Don't Know,Contaminated,Basic,Pit latrine with slab,No,In own plot/yard,Don't Know,,No Facility,No handwashing place available in dwelling/plot/yard,,
0bme-3tqw-4aee,Satkhira,Kalaroa Municipality,8,22.85130925,89.05446131,,4,Basic,AIRP (Arsenic iron removal plant),,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Twinpit offset latrine,No,In own dwelling,Yes,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
gqeb-a4pr-tm2a,Barguna,Patharghata Municipality,4,22.04507862,89.96967696,,5,Limited,Public tap/standpipe,,More than 500 meters/1600 feet,More than 30 minutes,Don't Know,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,Don't Know,,No Facility,No handwashing place available in dwelling/plot/yard,,
vhqt-h911-e1q5,Barguna,Barguna Union,8,22.13079881,90.08842877,,6,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Not Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,No,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
t2yx-n046-d2a1,Satkhira,Kalaroa Municipality,8,22.85307945,89.05126117,,5,Basic,Shallow tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to pit latrine,No,In own dwelling,No,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
7pja-jnvw-gjnk,Barguna,Barguna Municipality,8,22.15708163,90.11883074,,2,Safely Managed,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
2a4q-c8v0-ub4r,Barguna,Barguna Municipality,8,22.15492262,90.11438448,,8,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
qgda-4swa-g5y1,Barguna,Barguna Municipality,8,22.15793248,90.11929577,,3,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own plot/yard,No,,No Facility,No handwashing place available in dwelling/plot/yard,,
dm3c-quyd-ya93,Barguna,Barguna Municipality,8,22.15509675,90.11457064,,7,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Basic,Toilet that flush/pour to septic tank,No,In own dwelling,Don't Know,,No Facility,No handwashing place available in dwelling/plot/yard,,
a02g-nyat-g2s3,Barguna,Barguna Municipality,8,22.15439972,90.11760514,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
tard-5v9f-ww2y,Barguna,Barguna Municipality,8,22.1581911,90.11869772,,6,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own dwelling,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
r55j-s36e-ef85,Barguna,Barguna Municipality,7,22.15826851,90.11745242,,3,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Basic,Toilet that flush/pour to septic tank,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
44kd-m8kk-c8gs,Barguna,Barguna Municipality,8,22.1554718,90.11750498,,6,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
nwc6-14s0-6rg5,Barguna,Barguna Municipality,8,22.15777104,90.11874542,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
kbwp-83rp-ae4j,Barguna,Barguna Municipality,8,22.15808784,90.11767237,,13,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
055e-94bv-m78t,Barguna,Barguna Municipality,8,22.15680679,90.11941371,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
5sq9-tbpw-svev,Barguna,Patharghata Municipality,5,22.04582183,89.96459451,,4,Basic,Piped water into dwelling (household connection),,Water is located within the premises,Water is located on the premises,Don't Know,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,Don't Know,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
uxpr-tevx-c47s,Satkhira,Shatkhira Municipality,8,22.71245545,89.07025353,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own dwelling,No,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
gy3f-6dhf-qxh4,Barguna,Patharghata Municipality,5,22.04657106,89.96438956,,3,Safely Managed,Piped water into dwelling (household connection),,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,Don't Know,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
xs1s-kd7u-gfch,Satkhira,Shatkhira Municipality,3,22.69401998,89.08323798,,3,Basic,Bottled water,Piped water to yard/plot,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Limited,Toilet that flush/pour to flush piped sewer system,Yes,In own plot/yard,,,No Facility,No handwashing place available in dwelling/plot/yard,,
qv1v-wg8q-jytd,Satkhira,Shatkhira Municipality,3,22.6941328,89.08297601,,4,Basic,Bottled water,Piped water to yard/plot,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Basic,Toilet that flush/pour to flush piped sewer system,No,In own plot/yard,,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
7u3x-1wgx-hr63,Satkhira,Shatkhira Municipality,8,22.71112402,89.0694213,,3,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Limited,Pit latrine with slab,Yes,In own plot/yard,Don't Know,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
qwbt-nbnj-59k3,Barguna,Barguna Municipality,8,22.15639775,90.11879412,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
5pq7-pwqc-xyn7,Satkhira,Shatkhira Municipality,8,22.71232653,89.06878891,,3,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Limited,Pit latrine with slab,Yes,In own plot/yard,Don't Know,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
68s6-e3w7-0805,Satkhira,Shatkhira Municipality,3,22.6924133,89.08544045,,3,Basic,Deep tubewell/borehole,,More than 500 meters/1600 feet,Less than 30 minutes,Don't Know,Contaminated,Safely Managed,Twinpit offset latrine,No,In own dwelling,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
4csm-yhvh-yuja,Barguna,Patharghata Municipality,5,22.04770891,89.96456332,,4,Limited,Pond sand filter (PSF),,Between 150 and 500 meters / between 500 and 1600 feet,More than 30 minutes,Sufficient,Contaminated,Basic,Toilet that flush/pour to flush piped sewer system,No,In own plot/yard,,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
8jhw-jxtk-w1ma,Satkhira,Shatkhira Municipality,8,22.71298538,89.06828306,,3,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Limited,Pit latrine with slab,Yes,In own plot/yard,Don't Know,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
eq9r-tb79-wjsr,Barguna,Barguna Municipality,8,22.1565516,90.11971897,,4,Safely Managed,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,Elsewhere,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
9k8r-nkju-g8u6,Satkhira,Shatkhira Municipality,3,22.69018964,89.08483072,,9,Basic,Deep tubewell/borehole,,More than 500 meters/1600 feet,Less than 30 minutes,Don't Know,Contaminated,Safely Managed,Twinpit offset latrine,No,In own dwelling,No,,No Facility,No handwashing place available in dwelling/plot/yard,,
5ae0-05e8-dr0e,Satkhira,Shatkhira Municipality,8,22.71369345,89.06818986,,5,Basic,Piped water into dwelling (household connection),,Water is located within the premises,Water is located on the premises,Not Sufficient,Contaminated,Basic,Pit latrine with slab,No,In own dwelling,Don't Know,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
ydah-f7h6-8j2g,Satkhira,Shatkhira Municipality,8,22.71169915,89.06812761,,6,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Don't Know,Contaminated,Safely Managed,Pit latrine with slab,No,In own dwelling,No,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
uvyv-u3t9-sact,Barguna,Barguna Municipality,8,22.15574233,90.11818115,,6,Safely Managed,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own plot/yard,Yes,,Limited,Fixed facility observed in dwelling,Water is available,Soap is not available
h54q-b5sx-bb2j,Barguna,Patharghata Municipality,5,22.04761969,89.96386824,,8,Basic,Rainwater collection,,Water is located within the premises,Water is located on the premises,Don't Know,Contaminated,Basic,Toilet that flush/pour to flush piped sewer system,No,In own plot/yard,,,No Facility,No handwashing place available in dwelling/plot/yard,,
umvp-yffw-17b7,Barguna,Gourichanna Union,7,22.1730984,90.11892414,,8,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
7xsf-a58q-6tv4,Satkhira,Shatkhira Municipality,3,22.68832804,89.08492093,,8,Basic,Shallow tubewell/borehole,,More than 500 meters/1600 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,No,,No Facility,No handwashing place available in dwelling/plot/yard,,
3enq-mked-1ayq,Satkhira,Kalaroa Municipality,7,22.84316118,89.04971351,,4,Basic,AIRP (Arsenic iron removal plant),,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
06aj-eydm-5nxg,Satkhira,Shatkhira Municipality,8,22.71217227,89.06605571,,4,Unimproved,Bottled water,Cart with small tank/drum,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Unimproved,Toilet that flush/pour to elsewhere,No,In own plot/yard,,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
vwyg-31sg-xdx2,Satkhira,Kalaroa Municipality,2,22.87147927,89.04224616,,5,Basic,AIRP (Arsenic iron removal plant),,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Limited,Toilet that flush/pour to pit latrine,Yes,In own plot/yard,No,,No Facility,No handwashing place available in dwelling/plot/yard,,
3nge-vrwq-upqk,Satkhira,Shatkhira Municipality,3,22.69090343,89.08680822,,4,Limited,Deep tubewell/borehole,,More than 500 meters/1600 feet,More than 30 minutes,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
4y00-0vt9-ptgr,Satkhira,Shatkhira Municipality,8,22.71173861,89.0651468,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Not Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,No,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
v68d-y46e-wx72,Satkhira,Kalaroa Municipality,8,22.8506428,89.05365226,,3,Basic,AIRP (Arsenic iron removal plant),,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Basic,Toilet that flush/pour to flush piped sewer system,No,In own plot/yard,,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
x1ym-y2ca-kej7,Satkhira,Shatkhira Municipality,3,22.68942299,89.08877823,,4,Basic,Deep tubewell/borehole,,More than 500 meters/1600 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own dwelling,No,,No Facility,No handwashing place available in dwelling/plot/yard,,
q0bv-wxyv-sdv6,Satkhira,Kalaroa Municipality,8,22.85014915,89.05502674,,5,Basic,AIRP (Arsenic iron removal plant),,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,No,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
qks9-yag2-cpsn,Satkhira,Kalaroa Municipality,2,22.87291129,89.04086705,,2,Basic,AIRP (Arsenic iron removal plant),,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,No,,No Facility,No handwashing place available in dwelling/plot/yard,,
29hp-eew8-hasg,Satkhira,Shatkhira Municipality,3,22.689699,89.09341406,,3,Basic,Deep tubewell/borehole,,More than 500 meters/1600 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,No,,No Facility,No handwashing place available in dwelling/plot/yard,,
2tn9-h0te-hq5q,Barguna,Patharghata Municipality,5,22.04830954,89.96398947,,4,Basic,Rainwater collection,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
nem4-twmu-qcbf,Satkhira,Kalaroa Municipality,8,22.84967814,89.05292383,,3,Basic,AIRP (Arsenic iron removal plant),,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to pit latrine,No,In own plot/yard,Yes,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
4p6q-8chw-b6xy,Satkhira,Kalaroa Municipality,8,22.84880998,89.05178285,,4,Basic,Shallow tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,No,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
nvpu-wkw5-g5n0,Satkhira,Kalaroa Municipality,8,22.84966735,89.05030579,,4,Basic,AIRP (Arsenic iron removal plant),,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own plot/yard,No,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
26fy-a6d7-h1km,Barguna,Patharghata Municipality,5,22.04838451,89.96461749,,3,Basic,Rainwater collection,,Water is located within the premises,Water is located on the premises,Don't Know,Contaminated,Basic,Pit latrine with slab,No,In own plot/yard,Don't Know,,No Facility,No handwashing place available in dwelling/plot/yard,,
2qw8-3kyd-4u7h,Barguna,Betagi Municipality,6,22.41751398,90.16779283,,5,Safely Managed,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Basic,Ventilated Improved Pit latrine (VIP),No,Elsewhere,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
ny8y-99a1-rt6f,Barguna,Paurashava,9,22.11743076,90.22040535,,8,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Not Sufficient,Contaminated,Unimproved,Toilet that flush/pour to don't know,No,In own plot/yard,,,No Facility,No handwashing place available in dwelling/plot/yard,,
gkcr-8wpg-9ymh,Barguna,Paurashava,9,22.11886,90.22017472,,5,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Not Sufficient,Contaminated,Unimproved,Toilet that flush/pour to don't know,Yes,In own plot/yard,,,No Facility,No handwashing place available in dwelling/plot/yard,,
8pxh-ah06-8kdf,Barguna,Paurashava,9,22.12003989,90.22024624,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Unimproved,Toilet that flush/pour to don't know,No,In own plot/yard,,,No Facility,No handwashing place available in dwelling/plot/yard,,
v87a-bdkt-mvtq,Barguna,Paurashava,9,22.12051177,90.22017827,,8,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Not Sufficient,Not Contaminated,Safely Managed,Ventilated Improved Pit latrine (VIP),No,In own dwelling,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
1q6e-ns23-jua2,Barguna,Paurashava,9,22.12055869,90.22000049,,4,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own dwelling,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
4fn0-cp2t-8bdg,Barguna,Paurashava,9,22.12088196,90.21951388,,4,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
gqfk-hcpa-1vfn,Barguna,Dhalua Union,3,22.12242074,90.03423347,,7,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Not Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own dwelling,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
9bq3-arek-fvba,Barguna,Barguna Municipality,8,22.1541641,90.11686695,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own plot/yard,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
ap34-eqay-7tgu,Barguna,Barguna Municipality,8,22.15477355,90.11704867,,2,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own plot/yard,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
ymnc-bxuj-pn01,Barguna,Barguna Municipality,8,22.15741121,90.11873921,,3,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own plot/yard,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
kpnx-1me1-bcrs,Barguna,Barguna Municipality,8,22.15683265,90.11829095,,6,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
fe2p-8w48-b1p9,Barguna,Dhalua Union,3,22.12937478,90.03682452,,5,Safely Managed,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
vv9v-jv7h-w3a1,Barguna,Dhalua Union,3,22.12314178,90.0506147,,5,Safely Managed,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
stgk-4e28-gr2y,Barguna,Betagi Municipality,6,22.41642668,90.16722198,,6,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Not Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
98d6-qjfa-3nmg,Barguna,Dhalua Union,4,22.12365783,90.04452445,,6,Safely Managed,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own plot/yard,Yes,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
8tue-dqtc-u01y,Barguna,Dhalua Union,4,22.12220319,90.04862454,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
n6tx-vn42-7pt8,Barguna,Betagi Municipality,6,22.41629898,90.16769014,,9,Safely Managed,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Basic,Toilet that flush/pour to flush piped sewer system,No,In own plot/yard,,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
w4xd-hhnu-hshf,Barguna,Betagi Municipality,6,22.41680739,90.16758919,,4,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Not Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own dwelling,Yes,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
ghuq-qfyq-6pcg,Barguna,Betagi Municipality,6,22.41668616,90.16731597,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
h6s9-bgvv-h2vm,Barguna,Betagi Municipality,6,22.41689522,90.1671621,,6,Safely Managed,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own plot/yard,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
7q1r-yehu-nqa4,Barguna,Betagi Municipality,6,22.41619425,90.16671134,,6,Safely Managed,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Basic,Toilet that flush/pour to flush piped sewer system,No,In own plot/yard,,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
nxqn-a4fr-heq2,Barguna,Betagi Municipality,6,22.41776825,90.16866549,,3,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Not Sufficient,Not Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
pt15-m9ct-57tx,Barguna,Betagi Municipality,6,22.4171668,90.16838738,,3,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
jdbt-qgvb-8eb7,Barguna,Betagi Municipality,6,22.41728273,90.1690447,,6,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Basic,Toilet that flush/pour to flush piped sewer system,No,In own plot/yard,,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
89m2-agxg-xf8d,Barguna,Betagi Municipality,6,22.41748574,90.16917614,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Basic,Toilet that flush/pour to flush piped sewer system,No,In own plot/yard,,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
rfmj-t49m-6u7e,Barguna,Betagi Municipality,6,22.41724999,90.169333,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Don't Know,Contaminated,Safely Managed,Ventilated Improved Pit latrine (VIP),No,In own plot/yard,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
ubtq-2w1d-eawp,Satkhira,Agardari,2,22.76249965,89.025013,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Unimproved,Toilet that flush/pour to elsewhere,No,In own plot/yard,,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
gb4w-qr7p-794e,Satkhira,Shatkhira Municipality,8,22.71192676,89.06302739,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Not Sufficient,Not Contaminated,Basic,Toilet that flush/pour to flush piped sewer system,No,In own plot/yard,,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
dmu6-jrsf-d33x,Barguna,Patharghata Municipality,5,22.04824974,89.96349105,,4,Basic,Piped water to yard/plot,,Water is located within the premises,Water is located on the premises,Don't Know,Contaminated,Basic,Pit latrine with slab,No,In own plot/yard,Don't Know,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
7ms7-682w-rhj5,Satkhira,Kalaroa Municipality,8,22.84769029,89.05164242,,4,Basic,AIRP (Arsenic iron removal plant),,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,Yes,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
npsy-0gsk-n7dd,Satkhira,Jhaudanga Union,1,22.82304017,89.03907362,,5,Basic,Shallow tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Limited,Pit latrine with slab,Yes,In own plot/yard,Yes,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
nj9s-g4fk-py44,Satkhira,Shatkhira Municipality,3,22.70283855,89.08596026,,4,Safely Managed,Piped water to yard/plot,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Basic,Pit latrine with slab,No,In own plot/yard,Don't Know,,Limited,Fixed facility observed in plot/yard,Water is not available,Soap is not available
0s7n-wwwm-v53e,Satkhira,Shatkhira Municipality,8,22.71442734,89.05909964,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Limited,Toilet that flush/pour to flush piped sewer system,Yes,In own dwelling,,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
6vg1-avx5-255a,Satkhira,Agardari,2,22.76100407,89.02421161,,2,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Unimproved,Toilet that flush/pour to elsewhere,No,In own dwelling,,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
